Supplementary data 2 of Hayakawa et al. (2021, The Astrophysical Journal, 919, 1) 'Stephan Prantner’s Sunspot Observations during the Dalton Minimum'. The sunspot positions have been extracted from MS A07 03 07 in Stiftsarchiv Wilten.

Reference:
Hayakawa et al. (2021) Stephan Prantner’s Sunspot Observations during the Dalton Minimum, The Astrophysical Journal, DOI: 10.3847/1538-4357/abee1b

Abb. Meaning
------------------------------------------------------------------
Folio - Folio number for the said sunspot drawing;
YYYY - Year;
MM - Month;
DD - Date;
HH - Hour of the observational time in local time;
Element - arbitrary number for individual sunspots
BB - Heliographic latitude
LL - Calculated Carrington longitude
AREA - Individual sunspot area (msh)
TOYAL AREA - Total sunspot area for the day (msh)
LCM - Heliographic longitude from the central meridian.

The data blank shows the gap of observational data for the specified observational date.
------------------------------------------------------------------




       Folio        YYYY          MM          DD          HH     ELEMENT          BB          LL        AREA  TOTAL_AREA         LCM
          71        1815          11          23         013         E02      -16.34      157.82          61         934        16.1
          71        1815          11          23         013         E03      -14.48      163.80         702         934        21.2
          71        1815          11          23         013         E04      -13.22      155.28          71         934        12.8
          71        1815          11          23         013         E05      -12.34      158.22          54         934        15.3
          72        1815          12          08         999         E01       10.58      281.87         679        1048       -28.6
          72        1815          12          08         999         E02       12.85      317.62         178        1048         4.9
          72        1815          12          08         999         E03       14.64      318.44         191        1048         5.2
          72        1815          12          11         013         E01        0.64      281.75          92          92        11.7
          72        1815          12          15         013         E01      -15.38      271.17         124         351        55.8
          73        1815          12          15         999         E01      -40.65      181.71         579         351       -43.5
          74        1815          12          20         012         E01       -7.79       73.98         890        1124       -75.2
          74        1815          12          20         012         E02       -3.75       92.01         234        1124       -57.5
          01        1816          04          01         017         E01       -4.28      191.09         266        1278        -5.7
          01        1816          04          01         017         E02       -6.74      183.84        1012        1278       -12.0
          02        1816          04          02         017         E01       -6.65      250.75          79        2445        -1.2
          02        1816          04          02         017         E02       -6.79      246.86         212        2445        -1.1
          02        1816          04          02         017         E03        9.21      197.79         543        2445        16.5
          02        1816          04          02         017         E04        5.81      197.26         243        2445        12.8
          02        1816          04          02         017         E05        6.16      193.82          90        2445        13.4
          02        1816          04          02         017         E06        9.92      191.27          47        2445        17.8
          02        1816          04          02         017         E07        7.90      190.86          18        2445        15.6
          02        1816          04          02         017         E08        9.28      189.66          76        2445        17.3
          02        1816          04          02         017         E09       -6.95      177.69         989        2445        -3.0
          02        1816          04          02         017         E10       -8.57      170.98         148        2445        -6.7
          03        1816          04          03         009         E01      -14.10      163.04         154        2442       -40.7
